day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-03-09	31.0763700371988	27.1375098783006	35.5869340635828	29	30.4285714285714	hospitalizations	FOPH_online	before_lockdown
2020-03-10	37.6094705563827	32.8425545686251	43.0682781564951	40	34.7142857142857	hospitalizations	FOPH_online	before_lockdown
2020-03-11	42.9065790854506	37.4682664796991	49.134232826424	46	42.7142857142857	hospitalizations	FOPH_online	before_lockdown
2020-03-12	52.7945150063776	46.1029287137038	60.4573482102913	52	48	hospitalizations	FOPH_online	before_lockdown
2020-03-13	59.3276155255614	51.8079734040283	67.9386923032035	52	60.1428571428571	hospitalizations	FOPH_online	before_lockdown
2020-03-14	74.336089691254	64.9141571520712	85.1255638680021	63	68.1428571428572	hospitalizations	FOPH_online	before_lockdown
2020-03-15	84.2240256121809	73.5488193860759	96.4486792518693	54	77.2857142857143	hospitalizations	FOPH_online	before_lockdown
2020-03-16	95.524523807526	83.4170047963671	109.389382547718	114	85.5714285714286	hospitalizations	FOPH_online	before_lockdown
2020-03-17	105.765600297057	63.7516596210553	175.467780332143	96	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-18	130.725434796959	63.8912051929928	267.472483125551	110	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-19	161.575590313454	67.2325034397254	388.30431784451	101	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-20	199.706135425672	72.5580362719248	549.664001065154	NA	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-21	246.835183763124	79.5794506689691	765.61986079571	NA	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-22	305.086310009998	88.2866808759629	1054.26612068795	NA	NA	hospitalizations	FOPH_online	before_lockdown
2020-03-23	377.084235466363	98.8011871016847	1439.17826099507	NA	NA	hospitalizations	FOPH_online	before_lockdown
2020-02-24	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-25	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-26	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-27	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-28	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-29	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-01	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-02	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-03	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-04	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-05	NA	NA	NA	1	NA	deaths	FOPH_online	before_lockdown
2020-03-06	NA	NA	NA	0	NA	deaths	FOPH_online	before_lockdown
2020-03-07	NA	NA	NA	0	NA	deaths	FOPH_online	before_lockdown
2020-03-08	1	0.993097336003717	1.00695064194217	1	1	deaths	FOPH_online	before_lockdown
2020-03-09	1	0.993097336003717	1.00695064194217	0	1.42857142857143	deaths	FOPH_online	before_lockdown
2020-03-10	2.04081632653061	2.02672925715044	2.05500131008606	2	1.85714285714286	deaths	FOPH_online	before_lockdown
2020-03-11	2.41428571428572	2.39762071120897	2.43106654983181	3	2.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-12	3.56043956043956	3.53586304247477	3.58518690098091	4	3.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-13	4.96031746031746	4.92607805557399	4.99479485090361	3	4.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-14	5.85142857142858	5.81103812610176	5.89209975627875	5	5.71428571428571	deaths	FOPH_online	before_lockdown
2020-03-15	7.14285714285714	7.09355240002655	7.1925045853012	8	6.42857142857143	deaths	FOPH_online	before_lockdown
2020-03-16	7.23214285714285	7.18222180502688	7.28241089261746	7	7	deaths	FOPH_online	before_lockdown
2020-03-17	7.62222222222223	6.79797682790996	8.54640624345886	10	NA	deaths	FOPH_online	before_lockdown
2020-03-18	8.29975308641976	6.42581601358069	10.7201795304981	8	NA	deaths	FOPH_online	before_lockdown
2020-03-19	9.03750891632375	5.88953705785336	13.8680793770913	11	NA	deaths	FOPH_online	before_lockdown
2020-03-20	9.8408430422192	5.25779492273235	18.4187845294026	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-21	10.715584645972	4.58581488890177	25.0388986661627	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-22	11.6680810589473	3.91627588016745	34.7636682818025	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-23	12.7052438197427	3.2802117505837	49.2112195166621	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-24	NA	NA	NA	1	NA	cases	FOPH_online	current
2020-02-25	NA	NA	NA	1	NA	cases	FOPH_online	current
2020-02-26	NA	NA	NA	10	NA	cases	FOPH_online	current
2020-02-27	1.2827650288562	1.21094812330919	1.35884113248369	10	8	cases	FOPH_online	current
2020-02-28	16.2188523813505	15.310823425657	17.1807332143373	10	12.2857142857143	cases	FOPH_online	current
2020-02-29	23.0833135639489	21.7909707633251	24.452300490824	13	16.8571428571429	cases	FOPH_online	current
2020-03-01	29.5652238385289	27.9099846948633	31.3186291636766	11	24	cases	FOPH_online	current
2020-03-02	40.2885789151726	38.0329818249133	42.6779472216097	31	31.4285714285714	cases	FOPH_online	current
2020-03-03	50.3276768109293	47.5100306086828	53.312427307139	33	40.4285714285714	cases	FOPH_online	current
2020-03-04	62.1565449858177	58.6766475611462	65.8428224030342	60	45.5714285714286	cases	FOPH_online	current
2020-03-05	66.3908630280751	62.6739029987518	70.3282623662421	62	53.7142857142857	cases	FOPH_online	current
2020-03-06	75.5452658020451	71.3157872174383	80.0255792970638	73	76.8571428571428	cases	FOPH_online	current
2020-03-07	108.381630020841	102.313774169502	114.809348216537	49	102.285714285714	cases	FOPH_online	current
2020-03-08	142.875834348884	134.876785365195	151.349277680499	68	141.571428571429	cases	FOPH_online	current
2020-03-09	197.433808085553	186.380275421265	209.142885356609	193	183.714285714286	cases	FOPH_online	current
2020-03-10	253.20441977091	239.028512656426	268.221048104321	211	235	cases	FOPH_online	current
2020-03-11	319.969630699855	302.055805307862	338.945859576687	335	288	cases	FOPH_online	current
2020-03-12	385.47434376912	363.893170355038	408.335417670133	357	325	cases	FOPH_online	current
2020-03-13	423.1721629303	399.480438747275	448.268956649458	432	449.857142857143	cases	FOPH_online	current
2020-03-14	591.553643841103	558.434911095784	626.63652753197	420	574.571428571429	cases	FOPH_online	current
2020-03-15	751.996701275331	709.895400684595	796.594876067141	327	700.428571428571	cases	FOPH_online	current
2020-03-16	906.251178013156	855.513783565104	959.997621812406	1067	768.571428571428	cases	FOPH_online	current
2020-03-17	968.325907046267	914.113195722916	1025.75377605773	1084	870.428571428571	cases	FOPH_online	current
2020-03-18	1077.95586304697	1017.60540707194	1141.88548390368	1216	909.714285714286	cases	FOPH_online	current
2020-03-19	1096.19284598233	1034.82137395878	1161.20403561619	834	941.428571428571	cases	FOPH_online	current
2020-03-20	1106.90646701766	1044.93518201774	1172.55304234242	1145	998	cases	FOPH_online	current
2020-03-21	1153.98828944865	1089.38108070708	1222.42711551432	695	1020.57142857143	cases	FOPH_online	current
2020-03-22	1156.9420665768	1092.1694876168	1225.5560703639	549	1000.28571428571	cases	FOPH_online	current
2020-03-23	1107.6590253817	1045.64560763592	1173.35023219142	1463	1040.85714285714	cases	FOPH_online	current
2020-03-24	1141.08550092368	1077.20066792821	1208.759109779	1242	1064.28571428571	cases	FOPH_online	current
2020-03-25	1153.73849641407	1089.14527258975	1222.16250816818	1074	1068.14285714286	cases	FOPH_online	current
2020-03-26	1143.62056223491	1079.59380125213	1211.44451630753	1118	1051.85714285714	cases	FOPH_online	current
2020-03-27	1111.10218473615	1048.89599820997	1176.99759273779	1309	1029.71428571429	cases	FOPH_online	current
2020-03-28	1074.45607061461	1014.30155408047	1138.17813157861	722	1014.71428571429	cases	FOPH_online	current
2020-03-29	1049.08566433044	990.351535810329	1111.30309926074	435	1006.42857142857	cases	FOPH_online	current
2020-03-30	1033.58025303108	975.71421074165	1094.87811871037	1308	972.142857142857	cases	FOPH_online	current
2020-03-31	988.556354540954	933.211021027088	1047.18401742379	1137	917.571428571428	cases	FOPH_online	current
2020-04-01	921.923580032662	870.30875020852	976.599496691949	1016	883.857142857143	cases	FOPH_online	current
2020-04-02	882.033958512944	832.652389743277	934.344167570192	878	861.428571428571	cases	FOPH_online	current
2020-04-03	856.38240844112	808.436967806538	907.171317854575	927	806.285714285714	cases	FOPH_online	current
2020-04-04	793.812132368877	749.369752314873	840.890227487123	486	746.142857142857	cases	FOPH_online	current
2020-04-05	727.303187041872	686.584377974865	770.436879792551	278	688.571428571429	cases	FOPH_online	current
2020-04-06	665.290987190688	628.043994239097	704.74696310631	922	642.857142857143	cases	FOPH_online	current
2020-04-07	617.697546223617	583.115120498057	654.330929173614	716	554.714285714286	cases	FOPH_online	current
2020-04-08	523.844328648502	494.516370818661	554.911620424043	613	522.428571428571	cases	FOPH_online	current
2020-04-09	493.140156791884	465.531203269552	522.386496399713	558	514.142857142857	cases	FOPH_online	current
2020-04-10	488.59263089551	461.238275238279	517.569273369758	310	417.714285714286	cases	FOPH_online	current
2020-04-11	387.053318031772	365.383744136752	410.008035123026	260	376.428571428571	cases	FOPH_online	current
